"","age_mo","n","SBP_mean","SBP_sd","DBP_mean","DBP_sd","HR_mean","HR_sd","wt_gr_mean","wt_gr_sd"
"1",1,254,82,9,46,10,146,15,4052,497
"2",3,210,89,11,54,10,144,13,5675,593
"3",6,152,92,10,56,10,136,13,7490,750
"4",9,NA,94,10,57,8,127,13,8697,797
