sex|3|5|10|25|50|75|90|95|97
male|85.5|18.40637|18.89763|19.71479|21.27471|23.37343|26.00344|29.02298|31.24489|32.90689
male|86.5|18.55813|19.05395|19.87913|21.45592|23.58086|26.24988|29.3234|31.59174|33.29238
male|87.5|18.71062|19.21107|20.04438|21.63828|23.78979|26.49839|29.62676|31.94243|33.68257
male|88.5|18.86385|19.369|20.21057|21.82185|24.00031|26.74907|29.9332|32.29708|34.07755
male|89.5|19.01778|19.52773|20.37771|22.00666|24.21251|27.00204|30.24283|32.65581|34.47742
male|90.5|19.17243|19.68727|20.54584|22.19278|24.42648|27.25743|30.55579|33.01871|34.88226
male|91.5|19.32776|19.84762|20.71496|22.38027|24.64231|27.51535|30.8722|33.38591|35.29215
male|92.5|19.48379|20.00878|20.88511|22.56917|24.8601|27.77593|31.19218|33.75749|35.70715
male|93.5|19.6405|20.17076|21.05629|22.75955|25.07992|28.03928|31.51586|34.13355|36.12732
male|94.5|19.79788|20.33357|21.22855|22.95145|25.30189|28.30554|31.84335|34.5142|36.55271
male|95.5|19.95594|20.4972|21.4019|23.14493|25.52607|28.5748|32.17478|34.8995|36.98338
male|96.5|20.11467|20.66168|21.57637|23.34005|25.75257|28.84718|32.51025|35.28955|37.41935
male|97.5|20.27408|20.82702|21.75198|23.53686|25.98146|29.12281|32.84988|35.68443|37.86065
male|98.5|20.43418|20.99322|21.92878|23.73542|26.21284|29.40179|33.19377|36.08419|38.30731
male|99.5|20.59497|21.16032|22.10678|23.93579|26.44679|29.68422|33.54202|36.4889|38.75932
male|100.5|20.75647|21.32832|22.28602|24.13801|26.68339|29.97021|33.89472|36.89862|39.2167
male|101.5|20.91869|21.49726|22.46654|24.34216|26.92273|30.25986|34.25197|37.3134|39.67943
male|102.5|21.08166|21.66716|22.64838|24.54828|27.16489|30.55326|34.61384|37.73327|40.14749
male|103.5|21.2454|21.83805|22.83157|24.75645|27.40995|30.85051|34.98041|38.15826|40.62087
male|104.5|21.40994|22.00997|23.01617|24.9667|27.65797|31.15169|35.35176|38.58841|41.09952
male|105.5|21.57532|22.18296|23.20222|25.17912|27.90904|31.45689|35.72793|39.02372|41.5834
male|106.5|21.74156|22.35705|23.38976|25.39375|28.16324|31.76618|36.10899|39.46421|42.07247
male|107.5|21.90873|22.5323|23.57885|25.61067|28.42064|32.07964|36.49499|39.90987|42.56665
