sex|age|3|5|10|25|50|75|90|95|97
female|16.5|72.81433|73.57571|74.74217|76.67568|78.80198|80.90623|82.78208|83.89683|84.6177
female|17.5|73.74047|74.51184|75.6942|77.65565|79.81492|81.95399|83.86269|84.99774|85.73205
female|18.5|74.63908|75.42012|76.61797|78.60678|80.79852|82.97211|84.91353|86.06887|86.81663
female|19.5|75.51237|76.30282|77.51576|79.53138|81.75512|83.96292|85.93689|87.11249|87.8737
female|20.5|76.36229|77.16191|78.38958|80.4315|82.68679|84.92846|86.93481|88.13061|88.90526
female|21.5|77.19056|77.9991|79.2412|81.30893|83.59532|85.87054|87.90908|89.125|89.91305
female|22.5|77.99868|78.81595|80.07216|82.16525|84.48233|86.79077|88.86127|90.09723|90.89866
female|23.5|78.78801|79.61381|80.88385|83.00187|85.34924|87.69056|89.79282|91.04873|91.86347
female|24.5|79.55974|80.39391|81.67752|83.82007|86.19732|88.57121|90.70499|91.98074|92.80876
female|25.5|80.33998|81.18804|82.49318|84.67209|87.09026|89.50562|91.67718|92.97574|93.81864
female|26.5|81.11332|81.97223|83.29459|85.5036|87.95714|90.40982|92.61658|93.93693|94.79426
female|27.5|81.87334|82.74084|84.07717|86.31151|88.79602|91.28258|93.52227|94.86339|95.73464
female|28.5|82.61506|83.48951|84.83741|87.09346|89.60551|92.12313|94.39371|95.75464|96.63928
female|29.5|83.33473|84.21496|85.57273|87.84783|90.38477|92.93113|95.23082|96.61061|97.50808
female|30.5|84.02972|84.91494|86.28139|88.57362|91.13342|93.70662|96.03385|97.43164|98.34139
female|31.5|84.69837|85.58809|86.96242|89.27042|91.85154|94.45005|96.80343|98.2184|99.13993
female|32.5|85.33987|86.23379|87.6155|89.93835|92.53964|95.16218|97.54052|98.97193|99.90473
female|33.5|85.95413|86.85208|88.24089|90.57795|93.19854|95.84411|98.24636|99.69353|100.6372
female|34.5|86.54167|87.44359|88.83932|91.1902|93.82945|96.49721|98.92246|100.3848|101.3388
female|35.5|87.10349|88.00937|89.41196|91.77639|94.43382|97.12307|99.57056|101.0475|102.0116
