sex|3|5|10|25|50|75|90|95|97
female|23.5|9.921281|10.1445|10.50553|11.16037|11.97454|12.89636|13.83564|14.45561|14.88432
female|24.5|10.04881|10.27483|10.64076|11.30567|12.13456|13.07613|14.03902|14.67659|15.11839
female|25.5|10.17173|10.40066|10.77167|11.44697|12.29102|13.25293|14.24017|14.89587|15.35122
female|26.5|10.29079|10.52274|10.89899|11.58501|12.44469|13.42753|14.43984|15.11428|15.58363
female|27.5|10.40664|10.64171|11.02338|11.72047|12.59622|13.60059|14.63873|15.33249|15.81632
female|28.5|10.5199|10.75819|11.14545|11.85392|12.74621|13.77271|14.83743|15.55113|16.0499
female|29.5|10.63112|10.87273|11.26575|11.98592|12.89517|13.9444|15.03646|15.7707|16.28491
female|30.5|10.74078|10.98581|11.38474|12.11692|13.04357|14.11611|15.23626|15.99164|16.52176
female|31.5|10.84935|11.09789|11.50288|12.24735|13.19181|14.28822|15.43719|16.21432|16.76085
female|32.5|10.95722|11.20934|11.62054|12.37757|13.34023|14.46106|15.63957|16.43904|17.00245
female|33.5|11.06475|11.32054|11.73806|12.50791|13.48913|14.63491|15.84365|16.66605|17.24681
female|34.5|11.17225|11.43177|11.85574|12.63865|13.63877|14.80998|16.04963|16.89553|17.49412
female|35.5|11.28|11.54332|11.97384|12.77001|13.78937|14.98647|16.25767|17.12762|17.7445
female|36|11.33404|11.59929|12.03312|12.836|13.86507|15.07529|16.3625|17.24469|17.87089
